Company,alpha_a,alpha_b,beta_a,std,alpha_adj,date,search_pressure
McDonald%27s,-0.3587340008905832,-0.23456728753215345,0.07954937960531819,0.6858788807298045,-0.44006936991364465,2021-07-13,-0.3912681484998078
Marriott_International,-0.3453866617950981,-0.17473071404118767,0.04238874233465205,0.9194182125595598,-0.4636485202434504,2021-07-13,-0.392691405174439
Etsy,-0.39085210600230635,-0.3041159432545738,0.11915824612979767,0.4122717432626764,-0.39707226995204503,2021-07-13,-0.3933401715822018
Keysight,-0.3370745464302431,-0.47018146474844996,0.24189047161988453,0.8145119699442238,-0.47815250589387914,2021-07-13,-0.3935057302156975
Marathon_Oil,-0.3542468287224698,-0.09271702167029243,-0.014404755010737727,0.9182001910083316,-0.4537843707405937,2021-07-13,-0.39406184552971935
Citrix_Systems,-0.3690556386513371,-0.985252560638121,0.57966088677566,0.6573437780734736,-0.43704439244210375,2021-07-13,-0.3962511401676438
Zoetis,-0.3712592626422934,0.17891114978914424,-0.19984261676731083,0.7419487976112675,-0.43835896694429927,2021-07-13,-0.3980991443630958
PepsiCo,-0.38339632120388667,0.25455510044963714,-0.2530808219577537,0.8350365527303281,-0.423914329602253,2021-07-13,-0.3996035245632332
Franklin_Templeton_Investments,-0.3749243574666312,-0.05851283546533016,-0.04175563624595003,0.544765887383862,-0.4485557904481977,2021-07-13,-0.40437693065925784
United_Airlines_Holdings,-0.37926309900323113,0.21518330254537216,-0.2258422693085035,0.7445625040408254,-0.44488794974077783,2021-07-13,-0.40551303929824983
APA_Corporation,-0.3637920601029889,-0.11191617030895687,-0.003617103680311253,0.9058174249273412,-0.46878478098028925,2021-07-13,-0.40578914845390907
Cadence_Design_Systems,-0.3776189443156775,0.24734884616882047,-0.2470117926533407,0.6946991877396739,-0.45279769444719303,2021-07-13,-0.4076904443682837
Aptiv,-0.40612904330749133,-0.3796765161920971,0.16642455441282875,0.45999030142886915,-0.4143520040233283,2021-07-13,-0.4094182275938261
UnitedHealth_Group,-0.3692611579872806,-0.1707231033474887,0.03455469621791519,0.7976300873710815,-0.47088034560868497,2021-07-13,-0.40990883303584236
Ulta_Beauty,-0.3796741376751201,-0.10404583646831601,-0.012311171950628298,0.633539370778562,-0.4579024433940145,2021-07-13,-0.41096545996267786
AbbVie,-0.3908749414840784,0.2174935144986907,-0.22989410720541645,0.8240450458943525,-0.4415445955526973,2021-07-13,-0.41114280311152596
Northrop_Grumman,-0.3755066622518068,-0.23991901838447535,0.07951097842510754,0.7336268053056744,-0.4720067068161753,2021-07-13,-0.4141066800775542
Carnival_Corporation_%26_plc,-0.4034458741993312,0.18932291548974972,-0.21375595988370402,0.9417639579326343,-0.43890433586406286,2021-07-13,-0.41762925886522384
